Observation period,Clear sky GHI
2023-03-21T07:56:00.0/2023-03-21T07:57:00.0,607.428
2023-03-21T07:57:00.0/2023-03-21T07:58:00.0,609.972
2023-03-21T07:58:00.0/2023-03-21T07:59:00.0,612.5039999999999
2023-03-21T07:59:00.0/2023-03-21T08:00:00.0,615.0179999999999
2023-03-21T08:00:00.0/2023-03-21T08:01:00.0,617.52
2023-03-21T08:01:00.0/2023-03-21T08:02:00.0,620.01
2023-03-21T08:02:00.0/2023-03-21T08:03:00.0,622.4820000000001
2023-03-21T08:03:00.0/2023-03-21T08:04:00.0,624.9480000000001
2023-03-21T08:04:00.0/2023-03-21T08:05:00.0,627.396
2023-03-21T08:05:00.0/2023-03-21T08:06:00.0,629.826
2023-03-21T08:06:00.0/2023-03-21T08:07:00.0,632.244
2023-03-21T08:07:00.0/2023-03-21T08:08:00.0,634.6500000000001
2023-03-21T08:08:00.0/2023-03-21T08:09:00.0,637.044
2023-03-21T08:09:00.0/2023-03-21T08:10:00.0,639.42
2023-03-21T08:10:00.0/2023-03-21T08:11:00.0,641.784
2023-03-21T08:11:00.0/2023-03-21T08:12:00.0,644.13
2023-03-21T08:12:00.0/2023-03-21T08:13:00.0,646.4639999999999
2023-03-21T08:13:00.0/2023-03-21T08:14:00.0,648.7800000000001
2023-03-21T08:14:00.0/2023-03-21T08:15:00.0,651.084
2023-03-21T08:15:00.0/2023-03-21T08:16:00.0,653.376
2023-03-21T08:16:00.0/2023-03-21T08:17:00.0,655.65
2023-03-21T08:17:00.0/2023-03-21T08:18:00.0,657.9119999999999
2023-03-21T08:18:00.0/2023-03-21T08:19:00.0,660.156
2023-03-21T08:19:00.0/2023-03-21T08:20:00.0,662.3879999999999
2023-03-21T08:20:00.0/2023-03-21T08:21:00.0,664.6020000000001
2023-03-21T08:21:00.0/2023-03-21T08:22:00.0,666.804
2023-03-21T08:22:00.0/2023-03-21T08:23:00.0,668.988
2023-03-21T08:23:00.0/2023-03-21T08:24:00.0,671.16
2023-03-21T08:24:00.0/2023-03-21T08:25:00.0,673.314
2023-03-21T08:25:00.0/2023-03-21T08:26:00.0,675.456
2023-03-21T08:26:00.0/2023-03-21T08:27:00.0,677.5799999999999
2023-03-21T08:27:00.0/2023-03-21T08:28:00.0,679.692
2023-03-21T08:28:00.0/2023-03-21T08:29:00.0,681.786
2023-03-21T08:29:00.0/2023-03-21T08:30:00.0,683.8620000000001
2023-03-21T08:30:00.0/2023-03-21T08:31:00.0,685.926
2023-03-21T08:31:00.0/2023-03-21T08:32:00.0,687.9780000000001
2023-03-21T08:32:00.0/2023-03-21T08:33:00.0,690.006
2023-03-21T08:33:00.0/2023-03-21T08:34:00.0,692.0219999999999
2023-03-21T08:34:00.0/2023-03-21T08:35:00.0,694.026
2023-03-21T08:35:00.0/2023-03-21T08:36:00.0,696.012
2023-03-21T08:36:00.0/2023-03-21T08:37:00.0,697.9799999999999
2023-03-21T08:37:00.0/2023-03-21T08:38:00.0,699.9359999999999
2023-03-21T08:38:00.0/2023-03-21T08:39:00.0,701.874
2023-03-21T08:39:00.0/2023-03-21T08:40:00.0,703.7940000000001
2023-03-21T08:40:00.0/2023-03-21T08:41:00.0,705.702
2023-03-21T08:41:00.0/2023-03-21T08:42:00.0,707.592
2023-03-21T08:42:00.0/2023-03-21T08:43:00.0,709.47
2023-03-21T08:43:00.0/2023-03-21T08:44:00.0,711.324
2023-03-21T08:44:00.0/2023-03-21T08:45:00.0,713.166
2023-03-21T08:45:00.0/2023-03-21T08:46:00.0,714.9960000000001
2023-03-21T08:46:00.0/2023-03-21T08:47:00.0,716.802
2023-03-21T08:47:00.0/2023-03-21T08:48:00.0,718.596
2023-03-21T08:48:00.0/2023-03-21T08:49:00.0,720.372
2023-03-21T08:49:00.0/2023-03-21T08:50:00.0,722.1360000000001
2023-03-21T08:50:00.0/2023-03-21T08:51:00.0,723.8820000000001
2023-03-21T08:51:00.0/2023-03-21T08:52:00.0,725.61
2023-03-21T08:52:00.0/2023-03-21T08:53:00.0,727.3199999999999
2023-03-21T08:53:00.0/2023-03-21T08:54:00.0,729.012
2023-03-21T08:54:00.0/2023-03-21T08:55:00.0,730.692
2023-03-21T08:55:00.0/2023-03-21T08:56:00.0,732.354
2023-03-21T08:56:00.0/2023-03-21T08:57:00.0,733.998
2023-03-21T08:57:00.0/2023-03-21T08:58:00.0,735.63
2023-03-21T08:58:00.0/2023-03-21T08:59:00.0,737.238
2023-03-21T08:59:00.0/2023-03-21T09:00:00.0,738.8340000000001
2023-03-21T09:00:00.0/2023-03-21T09:01:00.0,740.406
2023-03-21T09:01:00.0/2023-03-21T09:02:00.0,741.948
2023-03-21T09:02:00.0/2023-03-21T09:03:00.0,743.472
2023-03-21T09:03:00.0/2023-03-21T09:04:00.0,744.978
2023-03-21T09:04:00.0/2023-03-21T09:05:00.0,746.472
2023-03-21T09:05:00.0/2023-03-21T09:06:00.0,747.948
2023-03-21T09:06:00.0/2023-03-21T09:07:00.0,749.4
2023-03-21T09:07:00.0/2023-03-21T09:08:00.0,750.846
2023-03-21T09:08:00.0/2023-03-21T09:09:00.0,752.268
2023-03-21T09:09:00.0/2023-03-21T09:10:00.0,753.672
2023-03-21T09:10:00.0/2023-03-21T09:11:00.0,755.0640000000001
2023-03-21T09:11:00.0/2023-03-21T09:12:00.0,756.438
2023-03-21T09:12:00.0/2023-03-21T09:13:00.0,757.794
2023-03-21T09:13:00.0/2023-03-21T09:14:00.0,759.1320000000001
2023-03-21T09:14:00.0/2023-03-21T09:15:00.0,760.452
2023-03-21T09:15:00.0/2023-03-21T09:16:00.0,761.754
2023-03-21T09:16:00.0/2023-03-21T09:17:00.0,763.044
2023-03-21T09:17:00.0/2023-03-21T09:18:00.0,764.3100000000001
2023-03-21T09:18:00.0/2023-03-21T09:19:00.0,765.564
2023-03-21T09:19:00.0/2023-03-21T09:20:00.0,766.8
2023-03-21T09:20:00.0/2023-03-21T09:21:00.0,768.018
2023-03-21T09:21:00.0/2023-03-21T09:22:00.0,769.218
2023-03-21T09:22:00.0/2023-03-21T09:23:00.0,770.4
2023-03-21T09:23:00.0/2023-03-21T09:24:00.0,771.5640000000001
2023-03-21T09:24:00.0/2023-03-21T09:25:00.0,772.716
2023-03-21T09:25:00.0/2023-03-21T09:26:00.0,773.8439999999999
2023-03-21T09:26:00.0/2023-03-21T09:27:00.0,774.96
2023-03-21T09:27:00.0/2023-03-21T09:28:00.0,776.052
2023-03-21T09:28:00.0/2023-03-21T09:29:00.0,777.132
2023-03-21T09:29:00.0/2023-03-21T09:30:00.0,778.1940000000001
2023-03-21T09:30:00.0/2023-03-21T09:31:00.0,779.2439999999999
2023-03-21T09:31:00.0/2023-03-21T09:32:00.0,780.27
2023-03-21T09:32:00.0/2023-03-21T09:33:00.0,781.278
2023-03-21T09:33:00.0/2023-03-21T09:34:00.0,782.268
2023-03-21T09:34:00.0/2023-03-21T09:35:00.0,783.246
2023-03-21T09:35:00.0/2023-03-21T09:36:00.0,784.2
2023-03-21T09:36:00.0/2023-03-21T09:37:00.0,785.136
2023-03-21T09:37:00.0/2023-03-21T09:38:00.0,786.0600000000001
2023-03-21T09:38:00.0/2023-03-21T09:39:00.0,786.96
2023-03-21T09:39:00.0/2023-03-21T09:40:00.0,787.8480000000001
2023-03-21T09:40:00.0/2023-03-21T09:41:00.0,788.7120000000001
2023-03-21T09:41:00.0/2023-03-21T09:42:00.0,789.564
2023-03-21T09:42:00.0/2023-03-21T09:43:00.0,790.3919999999999
2023-03-21T09:43:00.0/2023-03-21T09:44:00.0,791.202
2023-03-21T09:44:00.0/2023-03-21T09:45:00.0,792.0
2023-03-21T09:45:00.0/2023-03-21T09:46:00.0,792.774
2023-03-21T09:46:00.0/2023-03-21T09:47:00.0,793.5360000000001
2023-03-21T09:47:00.0/2023-03-21T09:48:00.0,794.274
2023-03-21T09:48:00.0/2023-03-21T09:49:00.0,794.994
2023-03-21T09:49:00.0/2023-03-21T09:50:00.0,795.702
2023-03-21T09:50:00.0/2023-03-21T09:51:00.0,796.386
2023-03-21T09:51:00.0/2023-03-21T09:52:00.0,797.052
2023-03-21T09:52:00.0/2023-03-21T09:53:00.0,797.706
2023-03-21T09:53:00.0/2023-03-21T09:54:00.0,798.336
2023-03-21T09:54:00.0/2023-03-21T09:55:00.0,798.948
2023-03-21T09:55:00.0/2023-03-21T09:56:00.0,799.5419999999999
2023-03-21T09:56:00.0/2023-03-21T09:57:00.0,800.118
2023-03-21T09:57:00.0/2023-03-21T09:58:00.0,800.682
2023-03-21T09:58:00.0/2023-03-21T09:59:00.0,801.222
2023-03-21T09:59:00.0/2023-03-21T10:00:00.0,801.7439999999999
2023-03-21T10:00:00.0/2023-03-21T10:01:00.0,802.242
2023-03-21T10:01:00.0/2023-03-21T10:02:00.0,802.728
2023-03-21T10:02:00.0/2023-03-21T10:03:00.0,803.196
2023-03-21T10:03:00.0/2023-03-21T10:04:00.0,803.646
2023-03-21T10:04:00.0/2023-03-21T10:05:00.0,804.072
2023-03-21T10:05:00.0/2023-03-21T10:06:00.0,804.486
2023-03-21T10:06:00.0/2023-03-21T10:07:00.0,804.876
2023-03-21T10:07:00.0/2023-03-21T10:08:00.0,805.254
2023-03-21T10:08:00.0/2023-03-21T10:09:00.0,805.608
2023-03-21T10:09:00.0/2023-03-21T10:10:00.0,805.944
2023-03-21T10:10:00.0/2023-03-21T10:11:00.0,806.2679999999999
2023-03-21T10:11:00.0/2023-03-21T10:12:00.0,806.568
2023-03-21T10:12:00.0/2023-03-21T10:13:00.0,806.85
2023-03-21T10:13:00.0/2023-03-21T10:14:00.0,807.114
2023-03-21T10:14:00.0/2023-03-21T10:15:00.0,807.36
2023-03-21T10:15:00.0/2023-03-21T10:16:00.0,807.588
2023-03-21T10:16:00.0/2023-03-21T10:17:00.0,807.792
2023-03-21T10:17:00.0/2023-03-21T10:18:00.0,807.984
2023-03-21T10:18:00.0/2023-03-21T10:19:00.0,808.152
2023-03-21T10:19:00.0/2023-03-21T10:20:00.0,808.308
2023-03-21T10:20:00.0/2023-03-21T10:21:00.0,808.44
2023-03-21T10:21:00.0/2023-03-21T10:22:00.0,808.554
2023-03-21T10:22:00.0/2023-03-21T10:23:00.0,808.65
2023-03-21T10:23:00.0/2023-03-21T10:24:00.0,808.728
2023-03-21T10:24:00.0/2023-03-21T10:25:00.0,808.7940000000001
2023-03-21T10:25:00.0/2023-03-21T10:26:00.0,808.8299999999999
2023-03-21T10:26:00.0/2023-03-21T10:27:00.0,808.854
2023-03-21T10:27:00.0/2023-03-21T10:28:00.0,808.86
2023-03-21T10:28:00.0/2023-03-21T10:29:00.0,808.842
2023-03-21T10:29:00.0/2023-03-21T10:30:00.0,808.806
2023-03-21T10:30:00.0/2023-03-21T10:31:00.0,808.758
2023-03-21T10:31:00.0/2023-03-21T10:32:00.0,808.6859999999999
2023-03-21T10:32:00.0/2023-03-21T10:33:00.0,808.596
2023-03-21T10:33:00.0/2023-03-21T10:34:00.0,808.488
2023-03-21T10:34:00.0/2023-03-21T10:35:00.0,808.362
2023-03-21T10:35:00.0/2023-03-21T10:36:00.0,808.218
2023-03-21T10:36:00.0/2023-03-21T10:37:00.0,808.0559999999999
2023-03-21T10:37:00.0/2023-03-21T10:38:00.0,807.87
2023-03-21T10:38:00.0/2023-03-21T10:39:00.0,807.672
2023-03-21T10:39:00.0/2023-03-21T10:40:00.0,807.4499999999999
2023-03-21T10:40:00.0/2023-03-21T10:41:00.0,807.21
2023-03-21T10:41:00.0/2023-03-21T10:42:00.0,806.958
2023-03-21T10:42:00.0/2023-03-21T10:43:00.0,806.6819999999999
2023-03-21T10:43:00.0/2023-03-21T10:44:00.0,806.388
2023-03-21T10:44:00.0/2023-03-21T10:45:00.0,806.0699999999999
2023-03-21T10:45:00.0/2023-03-21T10:46:00.0,805.74
